
New Run


Round 1:

Epoch 38: train_loss=0.036254, test_loss=0.133665, acc=0.0000
Epoch 39: train_loss=0.036264, test_loss=0.132637, acc=0.0000
Epoch 40: train_loss=0.036264, test_loss=0.132128, acc=0.0000
Epoch 41: train_loss=0.036249, test_loss=0.132118, acc=0.0000
Epoch 42: train_loss=0.036216, test_loss=0.132560, acc=0.0000
Epoch 43: train_loss=0.036167, test_loss=0.133388, acc=0.0000
Epoch 44: train_loss=0.036107, test_loss=0.134518, acc=0.0000
Epoch 45: train_loss=0.036042, test_loss=0.135854, acc=0.0000
Epoch 46: train_loss=0.035978, test_loss=0.137294, acc=0.0000
Epoch 47: train_loss=0.035920, test_loss=0.138736, acc=0.0000
Epoch 48: train_loss=0.035868, test_loss=0.140082, acc=0.0000
Epoch 49: train_loss=0.035824, test_loss=0.141245, acc=0.0000
Epoch 50: train_loss=0.035785, test_loss=0.142153, acc=0.0000
